"Horodateur","Acceptez-vous que vos réponses soient utilisées dans le cadre d'un exercice strictement scolaire ? Nous précisons que ce questionnaire est anonyme.","Combien de fois avez-vous contracté le Covid-19 ?","Combien de doses de vaccin au Covid-19 avez vous reçues ? ","Vous connaissez ou avez connu :","Pour ma part :","Quel est votre positionnement par rapport au port obligatoire du masque dans les lieux publics ?","Quels sont les arguments qui vous font pencher plutôt pour le port du masque ?","Quels sont les arguments qui vous font pencher plutôt contre le port du masque ?","Votre entourage est majoritairement :","Quel est votre positionnement par rapport à l'usage actuel des vaccins contre le Covid ?","Quels sont les arguments qui vous font pencher plutôt pour la vaccination au Covid-19 ?","Quels sont les arguments qui vous font pencher plutôt contre la vaccination au Covid-19 ?","Votre entourage est majoritairement :","Quel est votre positionnement par rapport aux décisions gouvernementales prises depuis le début de la pandémie concernant le pass vaccinal ?","Quels sont les arguments qui vous font pencher plutôt pour le pass vaccinal ?","Quels sont les arguments qui vous font pencher plutôt contre le pass vaccinal ?","Votre entourage est majoritairement :","Quel est votre genre ?","Quelle est votre tranche d'âge ?","Quelle est votre catégorie socio-professionnelle ?","Quelle est la population de votre ville de résidence ?","Quel est votre positionnement politique ? (Optionnel)","Vous vous considérez comme :","Votre entourage est majoritairement :"
"2022/03/02 2:09:20 PM UTC+1","Oui","0","3","Je ne connais aucun de ces cas","Je n'ai eu aucune des deux","J'approuve plutôt cette obligation","Je tolère le port du masque au quotidien provisoirement (ne me gène pas trop sur le visage...);Je pense que le masque est utile pour freiner la propagation du virus;Je pense que le port du masque protège mes proches;Je fais confiance à cette mesure du gouvernement pour son intérêt dans la gestion de la pandémie;Je pense que le masque est inoffensif pour la santé","Le masque me gêne physiquement au quotidien (gratte, empêche de bien parler/respirer, etc.);Je pense que le port obligatoire du masque est une attente à nos libertés","D'accord avec l'obligation de port du masque dans les lieux publics","J'approuve totalement leur usage","Je pense que le vaccin ne sera pas nocif pour la santé;Je pense que le vaccin a un impact positif concret pour ma protection personnelle face au Covid;Je pense le vaccin a un impact positif concret dans le cadre de l'immunité collective;Je pense que le vaccin obligatoire pour tous n'empiète pas ou peu sur mes libertés personnelles;Je fais confiance au gouvernement sur les bienfaits de cette mesure","Je pense que les vaccins ont été développés en trop peu de temps pour qu'ils soient fiables;Je pense que le vaccin n'a pas d'impact positif concret pour ma protection personnelle face au Covid","D'accord avec l'usage actuel des vaccins","J'approuve totalement ces décisions","Je tolère l'effet du pass sanitaire sur mes libertés personnelles provisoirement;Je pense que le pass sanitaire permet d'éviter des couvre-feux ou confinements;Je fais confiance au gouvernement sur la pertinence du pass vaccinal","Aucun de ces arguments","D'accord avec le pass vaccinal","Homme","18-25 ans","Etudiants","Moins 100 000 habitants","5","""Pro-vax""","""Pro-vax"""
"2022/03/04 2:35:06 PM UTC+1","Oui","1","2","Je ne connais aucun de ces cas","Je n'ai eu aucune des deux","Je n'approuve que partiellement cette obligation","Je pense que le masque est utile pour freiner la propagation du virus;Je pense que le port du masque protège mes proches","Le masque me gêne physiquement au quotidien (gratte, empêche de bien parler/respirer, etc.)","Neutre par rapport à l'obligation de port du masque dans les lieux publics","J'approuve totalement leur usage","Je pense que le vaccin est et restera suffisamment inoffensif pour la santé;Je pense que le vaccin a un impact positif concret pour ma protection personnelle face au Covid;Je pense le vaccin a un impact positif concret dans le cadre de l'immunité collective","Aucun de ces arguments","D'accord avec l'usage actuel des vaccins","J'approuve plutôt ces décisions","Je pense que le pass sanitaire permet d'éviter des couvre-feux ou confinements","Aucun de ces arguments","D'accord avec le pass vaccinal","Femme","18-25 ans","Etudiants","Moins de 100 000 habitants","","Neutre","Neutre"
"2022/03/04 2:36:01 PM UTC+1","Oui","0","3","Je ne connais aucun de ces cas","Je n'ai eu aucune des deux","J'approuve plutôt cette obligation","Je pense que le masque est utile pour freiner la propagation du virus;Je pense que le port du masque protège mes proches","Le masque me gêne physiquement au quotidien (gratte, empêche de bien parler/respirer, etc.);Je pense que le masque peut causer des problèmes de santé (acné, problèmes respiratoires, etc.)","Neutre par rapport à l'obligation de port du masque dans les lieux publics","J'approuve plutôt leur usage","Je pense que les vaccins ont été développés en suffisamment de temps pour être fiables;Je pense que notre connaissance en vaccins à ARN messager est suffisante pour les utiliser à grande échelle;Je pense que le vaccin a un impact positif concret pour ma protection personnelle face au Covid;Je pense le vaccin a un impact positif concret dans le cadre de l'immunité collective;Je pense que le vaccin obligatoire pour tous n'empiète pas ou peu sur mes libertés personnelles","Aucun de ces arguments","D'accord avec l'usage actuel des vaccins","Je n'approuve que partiellement ces décisions","Je tolère l'effet du pass sanitaire sur mes libertés personnelles provisoirement;Je pense que le pass sanitaire permet d'éviter des couvre-feux ou confinements","Je souhaite exprimer mon insatisfaction face au gouvernement actuel qui ne me convient pas","D'accord avec le pass vaccinal","Homme","18-25 ans","Etudiants","Moins de 100 000 habitants","6","Neutre","Neutre"
"2022/03/04 2:36:28 PM UTC+1","Oui","1","2","Je ne connais aucun de ces cas","Je n'ai eu aucune des deux","J'approuve totalement cette obligation","Je pense que le masque est utile pour freiner la propagation du virus;Je pense que le masque est inoffensif pour la santé;Je tolère le port du masque au quotidien (ne me gène pas trop sur le visage...)","Aucun de ces arguments","D'accord avec l'obligation de port du masque dans les lieux publics","J'approuve totalement leur usage","Je pense que le vaccin a un impact positif concret pour ma protection personnelle face au Covid;Je pense que le vaccin obligatoire pour tous n'empiète pas ou peu sur mes libertés personnelles","Je pense que nous n'avons pas assez de recul par rapport aux vaccins à ARN messager","D'accord avec l'usage actuel des vaccins","J'approuve totalement ces décisions","Je pense que le pass sanitaire permet d'éviter des couvre-feux ou confinements","Aucun de ces arguments","D'accord avec le pass vaccinal","Femme","18-25 ans","Etudiants","Moins de 10 000 habitants","","Neutre","Neutre"
"2022/03/04 2:36:51 PM UTC+1","Oui","0","3","Je ne connais aucun de ces cas","Je n'ai eu aucune des deux","J'approuve plutôt cette obligation","Je pense que le masque est utile pour freiner la propagation du virus;Je pense que le port du masque protège mes proches;Je fais confiance à cette mesure du gouvernement pour son intérêt dans la gestion de la pandémie;Je pense que le masque est inoffensif pour la santé;Je tolère le port du masque au quotidien (ne me gène pas trop sur le visage...)","Aucun de ces arguments","D'accord avec l'obligation de port du masque dans les lieux publics","J'approuve totalement leur usage","Je pense que le vaccin est et restera suffisamment inoffensif pour la santé;Je pense que les vaccins ont été développés en suffisamment de temps pour être fiables;Je pense que notre connaissance en vaccins à ARN messager est suffisante pour les utiliser à grande échelle;Je pense que le vaccin a un impact positif concret pour ma protection personnelle face au Covid;Je pense le vaccin a un impact positif concret dans le cadre de l'immunité collective;Je pense que le vaccin obligatoire pour tous n'empiète pas ou peu sur mes libertés personnelles;Je fais confiance au gouvernement sur les bienfaits de cette mesure","Aucun de ces arguments","D'accord avec l'usage actuel des vaccins","J'approuve plutôt ces décisions","Je tolère l'effet du pass sanitaire sur mes libertés personnelles provisoirement","Aucun de ces arguments","D'accord avec le pass vaccinal","Homme","18-25 ans","Etudiants","Moins de 100 000 habitants","","Neutre","Neutre"
"2022/03/04 2:36:52 PM UTC+1","Oui","1","2","Je ne connais aucun de ces cas","Je n'ai eu aucune des deux","Je n'approuve que partiellement cette obligation","","","D'accord avec l'obligation de port du masque dans les lieux publics","J'approuve plutôt leur usage","Je pense que le vaccin a un impact positif concret pour ma protection personnelle face au Covid;Je pense le vaccin a un impact positif concret dans le cadre de l'immunité collective","Je pense que les vaccins ont été développés en trop peu de temps pour qu'ils soient fiables","D'accord avec l'usage actuel des vaccins","Je n'approuve que partiellement ces décisions","Je tolère l'effet du pass sanitaire sur mes libertés personnelles provisoirement;Je fais confiance au gouvernement sur la pertinence du pass vaccinal","","D'accord avec le pass vaccinal","Homme","18-25 ans","Etudiants","Moins de 1 000 habitants","10","Neutre","Neutre"
"2022/03/04 2:37:26 PM UTC+1","Oui","2","1","Je ne connais aucun de ces cas","Je n'ai eu aucune des deux","J'approuve totalement cette obligation","Je pense que le masque est utile pour freiner la propagation du virus;Je pense que le port du masque protège mes proches;Je fais confiance à cette mesure du gouvernement pour son intérêt dans la gestion de la pandémie;Je pense que le masque est inoffensif pour la santé;Je tolère le port du masque au quotidien (ne me gène pas trop sur le visage...)","","D'accord avec l'obligation de port du masque dans les lieux publics","J'approuve totalement leur usage","Je pense que les vaccins ont été développés en suffisamment de temps pour être fiables;Je pense que notre connaissance en vaccins à ARN messager est suffisante pour les utiliser à grande échelle;Je pense le vaccin a un impact positif concret dans le cadre de l'immunité collective","Je pense que nous n'avons pas assez de recul par rapport aux vaccins à ARN messager","D'accord avec l'usage actuel des vaccins","J'approuve plutôt ces décisions","Je tolère l'effet du pass sanitaire sur mes libertés personnelles provisoirement;Je pense que le pass sanitaire permet d'éviter des couvre-feux ou confinements","Je pense que le gouvernement n'a pas à décider de ce qui est bon ou non pour nous","D'accord avec le pass vaccinal","Homme","18-25 ans","Etudiants","Moins de 1 000 000 habitants","","""Pro-vax""","""Pro-vax"""
"2022/03/04 2:37:32 PM UTC+1","Oui","1","3","Un proche ayant eu une réaction violente au vaccin (problèmes cardiaques, réaction allergique...)","Je n'ai eu aucune des deux","Je désapprouve plutôt cette obligation","Aucun de ces arguments","Je pense que le masque est inutile pour freiner la propagation du virus","Pas d'accord avec l'obligation de port du masque dans les lieux publics","Je désapprouve plutôt leur usage","Aucun de ces arguments","Je pense que les vaccins ont été développés en trop peu de temps pour qu'ils soient fiables;Je pense que nous n'avons pas assez de recul par rapport aux vaccins à ARN messager;Je pense que le vaccin n'aura pas d'impact positif concret sur la sécurité de mes proches;Je pense que le vaccin n'a pas d'impact positif concret dans le cadre de l'immunité collective;Je pense que le vaccin obligatoire pour tous est une atteinte à la liberté personnelle","Pas d'accord avec l'usage actuel des vaccins","Je désapprouve totalement ces décisions","je suis contre le pass vaccinal","Je pense que le pass vaccinal est une atteinte à ma liberté personnelle fondamentale;Je pense que le pass vaccinal est une atteinte à la liberté des Français;Je pense que le gouvernement n'a pas à décider de ce qui est bon ou non pour nous;Je ne fais pas confiance aux vaccins contre le Covid-19","Pas d'accord avec le pass vaccinal","Homme","56-65 ans","Cadres supérieurs, Professions intellectuelles supérieures","Moins de 10 000 habitants","","Neutre","Neutre"
"2022/03/04 2:38:16 PM UTC+1","Oui","0","0","Un proche ayant eu une réaction violente au vaccin (problèmes cardiaques, réaction allergique...)","Je n'ai eu aucune des deux","Je désapprouve totalement cette obligation","Aucun de ces arguments","Je pense que le masque est inutile pour freiner la propagation du virus","Pas d'accord avec l'obligation de port du masque dans les lieux publics","Je désapprouve totalement leur usage","Aucun de ces arguments","Je pense que le vaccin obligatoire pour tous est une atteinte à la liberté personnelle;Le vaccin n’empêche pas d’attraper le covid, n’étant pas personne a risque il m’est donc inutile","Pas d'accord avec l'usage actuel des vaccins","Je désapprouve totalement ces décisions","Aucun","Je pense que le pass vaccinal est une atteinte à ma liberté personnelle fondamentale;Je pense que le pass vaccinal est une atteinte à la liberté des Français","Pas d'accord avec le pass vaccinal","Homme","18-25 ans","Etudiants","Moins de 100 000 habitants","0","Neutre","Neutre"
"2022/03/04 2:38:19 PM UTC+1","Oui","1","3","Le décès d'un proche dû au Covid-19","Je n'ai eu aucune des deux","Je n'approuve que partiellement cette obligation","Je pense que le masque est utile pour freiner la propagation du virus;Je fais confiance à cette mesure du gouvernement pour son intérêt dans la gestion de la pandémie;Je pense que le masque est inoffensif pour la santé;Je tolère le port du masque au quotidien (ne me gène pas trop sur le visage...)","Aucun de ces arguments","D'accord avec l'obligation de port du masque dans les lieux publics","J'approuve totalement leur usage","Je pense que le vaccin est et restera suffisamment inoffensif pour la santé;Je pense que les vaccins ont été développés en suffisamment de temps pour être fiables;Je pense que notre connaissance en vaccins à ARN messager est suffisante pour les utiliser à grande échelle;Je pense que le vaccin a un impact positif concret pour ma protection personnelle face au Covid;Je pense le vaccin a un impact positif concret dans le cadre de l'immunité collective;Je fais confiance au gouvernement sur les bienfaits de cette mesure","Aucun de ces arguments","D'accord avec l'usage actuel des vaccins","J'approuve plutôt ces décisions","Je tolère l'effet du pass sanitaire sur mes libertés personnelles provisoirement;Je pense que le pass sanitaire permet d'éviter des couvre-feux ou confinements;Je fais confiance au gouvernement sur la pertinence du pass vaccinal","","D'accord avec le pass vaccinal","Homme","18-25 ans","Cadres supérieurs, Professions intellectuelles supérieures","Moins de 100 000 habitants","6","Neutre","Neutre"
